SetNumber,URL,Description,Notes,DateAdded,DateRetrieved
"260-1","http://cache.lego.com/bigdownloads/buildinginstructions/120086.pdf","BUILDING BOOK","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"260-1","http://cache.lego.com/bigdownloads/buildinginstructions/120087.pdf","BUILDING BOOK","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"624-1","http://cache.lego.com/bigdownloads/buildinginstructions/4105065.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"697-1","http://cache.lego.com/bigdownloads/buildinginstructions/4108423.pdf","Ideas Book","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"697-1","http://cache.lego.com/bigdownloads/buildinginstructions/4109085.pdf","Ideas Book","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1029-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129147.pdf","MILK CART","BUILDING INST. FOR 1029","2010-01-01","2017-06-28"
"1054-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129304.pdf","P&O STENAFÆRGE","BUILD. INST. FOR 1054","2010-01-01","2017-06-28"
"1068-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128300.pdf","2849 AIIR PATROL (NBD)","BUILDING INSTR. FOR 1068","2010-01-01","2017-06-28"
"1069-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128301.pdf","2882 SPEED BOAT (NBD)","BUILDING INSTR. FOR 1069","2010-01-01","2017-06-28"
"1070-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128302.pdf","2884 PLANE (NBD)","BUILDING INSTR. FOR 1070","2010-01-01","2017-06-28"
"1088-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128303.pdf","2886 ROAD RACER (NBD)","BUILDING INSTR. FOR 1088","2010-01-01","2017-06-28"
"1095-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128305.pdf","6100 SUPER SUB (NBD)","BUILDING INSTR. FOR 1095","2010-01-01","2017-06-28"
"1096-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128306.pdf","6400 RACE BUGGY (NBD)","BUILDING INSTR. FOR 1096","2010-01-01","2017-06-28"
"1097-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128297.pdf","6415 RES-Q RUNNER (NBD)","BUILDING INSTR. FOR 1097","2010-01-01","2017-06-28"
"1098-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128298.pdf","6585 HANG GLIDER (NBD)","BUILDING INSTR. FOR 1098","2010-01-01","2017-06-28"
"1099-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128299.pdf","3016 NINJA BLASTER (NBD)","BUILDING INSTR. FOR 1099","2010-01-01","2017-06-28"
"1100-1","http://cache.lego.com/bigdownloads/buildinginstructions/4133627.pdf","SKY PIRATES _ INFLIGHT","BUILD INST. 1100","2010-01-01","2017-06-28"
"1106-2","http://cache.lego.com/bigdownloads/buildinginstructions/4128695.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1127-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129483.pdf","SANTA CLAUS","BUILD.INST. FOR 1127 IN","2010-01-01","2017-06-28"
"1128-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129484.pdf","SKIING SANTA","BUILD.INST. FOR 1128 IN","2010-01-01","2017-06-28"
"1129-2","http://cache.lego.com/bigdownloads/buildinginstructions/4129485.pdf","REINDEER WITH ELF","BUILD. INST. FOR 1129 IN","2010-01-01","2017-06-28"
"1149-1","http://cache.lego.com/bigdownloads/buildinginstructions/4133626.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1177-1","http://cache.lego.com/bigdownloads/buildinginstructions/4154115.pdf","SANTA'S TRUCK","BI 1177 IN","2010-01-01","2017-06-28"
"1180-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128346.pdf","RADAR CAR","BUILD INSTRUCTION FOR 1180","2010-01-01","2017-06-28"
"1181-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128347.pdf","SPACE JET","BUILD INSTRUCTION FOR 1181","2010-01-01","2017-06-28"
"1182-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128311.pdf","SMALL RAFT","BUILDING INST. FOR 1182","2010-01-01","2017-06-28"
"1183-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128312.pdf","MUMMY WITH SMALL CAR","BUILD.INST. FOR 1183","2010-01-01","2017-06-28"
"1184-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128313.pdf","CART WITH "CANNON"","BUILD.INST. FOR 1184","2010-01-01","2017-06-28"
"1185-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128314.pdf","NINJA WITH RAFT","BUILD.INST. FOR 1185","2010-01-01","2017-06-28"
"1186-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128315.pdf","NINJA WITH SWORDS","BUILDING INST. FOR 1186","2010-01-01","2017-06-28"
"1187-1","http://cache.lego.com/bigdownloads/buildinginstructions/4128316.pdf","FLYING NINJA","BUILD.INST. FOR 1187","2010-01-01","2017-06-28"
"1188-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129324.pdf","DRAGSTER","BUILD.INST. FOR 1188","2010-01-01","2017-06-28"
"1189-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129325.pdf","BOAT","BUILD.INST. FOR 1189","2010-01-01","2017-06-28"
"1190-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129326.pdf","CAR","BUILD.INST. FOR 1190","2010-01-01","2017-06-28"
"1191-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129327.pdf","AIR PLANE","BUILD.INST. FOR 1191","2010-01-01","2017-06-28"
"1195-1","http://cache.lego.com/bigdownloads/buildinginstructions/4155450.pdf","ALIEN ENCOUNTER","BI 1195","2010-01-01","2017-06-28"
"1197-1","http://cache.lego.com/bigdownloads/buildinginstructions/4131316.pdf","DT MOTOR BIKE W/CAMERA","BUILD.INST. 1197 IN","2010-01-01","2017-06-28"
"1198-1","http://cache.lego.com/bigdownloads/buildinginstructions/4131317.pdf","DT BIKE PIT STOP","BUILD.INST. 1198 IN","2010-01-01","2017-06-28"
"1199-1","http://cache.lego.com/bigdownloads/buildinginstructions/4131318.pdf","DT MAN.CAR AND TRIBUNE","BUILD. INST. 1199 IN","2010-01-01","2017-06-28"
"1246-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129318.pdf","POLICE HELICOPTER","BUILD.INST FOR 1246","2010-01-01","2017-06-28"
"1247-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129319.pdf","POLICE PATROL CAR","BUILD.INST. FOR 1247","2010-01-01","2017-06-28"
"1248-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129320.pdf","FIRE BOAT","BUILD. INST. FOR 1248","2010-01-01","2017-06-28"
"1249-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129321.pdf","PARAMEDIC ON MOTORCYCLE","BUILD.INST. FOR 1249","2010-01-01","2017-06-28"
"1250-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129322.pdf","SHELL DRAGSTER","BUILD. INST. FOR 1250","2010-01-01","2017-06-28"
"1251-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129323.pdf","SHELL GO-CART","BUILD. INST. FOR 1251","2010-01-01","2017-06-28"
"1252-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129333.pdf","SHELL TANKER","BUILD. INST FOR 1252","2010-01-01","2017-06-28"
"1253-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129334.pdf","FORMULA 1 TRANSPORT","BUILD. INST. FOR 1253","2010-01-01","2017-06-28"
"1254-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129486.pdf","SELECT SHOP","BUILD.INST. FOR 1254","2010-01-01","2017-06-28"
"1255-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129480.pdf","CAR WASH","BUILD.INST. FOR 1255","2010-01-01","2017-06-28"
"1256-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129481.pdf","SHELL TANK STATION","BUILD.INST. FOR 1256","2010-01-01","2017-06-28"
"1257-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129254.pdf","JUMPING TRIKE","BUILDING INSTR. 1257","2010-01-01","2017-06-28"
"1258-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129255.pdf","PROPELLER CAR","BUILDING INSTR. 1258","2010-01-01","2017-06-28"
"1259-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129274.pdf","MOTOR CYCLE","BUILDING INSTR. 1259","2010-01-01","2017-06-28"
"1260-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129275.pdf","PISTON CAR","BUILDING INSTR. 1260","2010-01-01","2017-06-28"
"1263-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132573.pdf","EASTER BUNNY WITH FLOWER","BUILD. INST. FOR 1263","2010-01-01","2017-06-28"
"1264-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132574.pdf","HEN WITH CHICKEN","BUILD. INST. FOR 1264 IN","2010-01-01","2017-06-28"
"1265-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132640.pdf","MOON BUGGY (OLD 1180)","BUILD.INST. FOR 1265","2010-01-01","2017-06-28"
"1266-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132641.pdf","SPACE PROBE (OLD 1181)","BUILD.INST FOR 1266","2010-01-01","2017-06-28"
"1268-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132639.pdf","BIKE BLASTER (OLD 3003)","BUILD.INST FOR 1268","2010-01-01","2017-06-28"
"1269-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132642.pdf","WHITE NINJA (OLD 3076)","BUILD.INST. FOR 1269 AM","2010-01-01","2017-06-28"
"1271-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132643.pdf","JUNGLE SURPRICE (OLD 5905)","BUILD.INSTR. FOR 1271","2010-01-01","2017-06-28"
"1274-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132577.pdf","HOVERCRAFT WITH SEARCHLIGHT","BUILD.INST. FOR 1274 IN","2010-01-01","2017-06-28"
"1275-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132644.pdf","CAR WITH CICULAR SAWS","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1276-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132645.pdf","HELICOPTER","BUILD.INSTR. FOR 1276 IN","2010-01-01","2017-06-28"
"1277-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132646.pdf","HOVERCRAFT WITH ICE SAWS","BUILD.INSTR. FOR 1277 IN","2010-01-01","2017-06-28"
"1285-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132653.pdf","YELLOW RACER BOAT","BUILDINST. FOR 1285 IN","2010-01-01","2017-06-28"
"1286-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132672.pdf","KING WITH CHART","{No longer listed at LEGO.com}","2012-06-01","2012-06-12"
"1288-1","http://cache.lego.com/bigdownloads/buildinginstructions/4129493.pdf","Also 4807-1","{No longer listed at LEGO.com}","2010-01-01",
"1289-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132673.pdf","SMALL CATAPULT","BUILD. INST FOR 1289 IN","2010-01-01","2017-06-28"
"1290-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132920.pdf","VOLCANO CLIMBER","BUILDING INSTR. 1290","2010-01-01","2017-06-28"
"1291-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132921.pdf","DIRT BIKE","BUILD. INSTR. 1291","2010-01-01","2017-06-28"
"1292-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132922.pdf","ICE EXPLORER","BUILD.INSTR. 1292","2010-01-01","2017-06-28"
"1293-1","http://cache.lego.com/bigdownloads/buildinginstructions/4132923.pdf","SWAMP CRAFT","BUILD. INSTR. 1293","2010-01-01","2017-06-28"
"1294-1","http://cache.lego.com/bigdownloads/buildinginstructions/4133285.pdf","FIRE HELICOPTER","BUILD.INSTR. 1294","2010-01-01","2017-06-28"
"1295-1","http://cache.lego.com/bigdownloads/buildinginstructions/4133286.pdf","HOVERCRAFT","BUILD.INSTR. 1295","2010-01-01","2017-06-28"
"1296-1","http://cache.lego.com/bigdownloads/buildinginstructions/4133287.pdf","EXCAVATOR","BUILD.INSTR. 1296","2010-01-01","2017-06-28"
"1297-1","http://cache.lego.com/bigdownloads/buildinginstructions/4133288.pdf","POLICE CAR","BUILD.INSTR. 1297","2010-01-01","2017-06-28"
"1349-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130816.pdf","Truck & Dino","{No longer listed at LEGO.com}","2010-01-01",
"1349-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130821.pdf","Explosion Studio","BUILDING INSTR. 1352","2010-01-01","2017-06-28"
"1351-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130802.pdf","Moving Backdrop Studio","BULDING INSTR. 1351","2010-01-01","2017-06-28"
"1353-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130822.pdf","Car Stunt Studio","BUILDING INSTR. FOR 1353","2010-01-01","2017-06-28"
"1354-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130823.pdf","Dino Head Attack","BUILDING INSTR. FOR 1354","2010-01-01","2017-06-28"
"1355-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130824.pdf","Temple of Gloom","BUILDING INSTR. 1355","2010-01-01","2017-06-28"
"1356-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130825.pdf","Stuntman Catapult","BI 1356","2010-01-01","2017-06-28"
"1357-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130826.pdf","Cameraman","BI 1357","2010-01-01","2017-06-28"
"1360-1","http://cache.lego.com/bigdownloads/buildinginstructions/4156208.pdf","DIRECTOR'S COPTER","BI 1360","2010-01-01","2017-06-28"
"1361-1","http://cache.lego.com/bigdownloads/buildinginstructions/4156209.pdf","CAMERA CAR","BI 1361","2010-01-01","2017-06-28"
"1362-1","http://cache.lego.com/bigdownloads/buildinginstructions/4156210.pdf","AIR BOAT","BI 1362","2010-01-01","2017-06-28"
"1363-1","http://cache.lego.com/bigdownloads/buildinginstructions/4156211.pdf","STUNT GO-CART","BI 1363","2010-01-01","2017-06-28"
"1370-1","http://cache.lego.com/bigdownloads/buildinginstructions/4161750.pdf","Raptor Rumble Studio","BI 1370","2010-01-01","2017-06-28"
"1371-1","http://cache.lego.com/bigdownloads/buildinginstructions/4161787.pdf","Spinosaurus Attack Studio","BI 1371","2010-01-01","2017-06-28"
"1374-1","http://cache.lego.com/bigdownloads/buildinginstructions/4182046.pdf","","{No longer listed at LEGO.com}","2010-01-01",
"1374-1","http://cache.lego.com/bigdownloads/buildinginstructions/4201445.pdf","Green Goblin™","BI 1374","2010-01-01","2017-06-28"
"1376-1","http://cache.lego.com/bigdownloads/buildinginstructions/4182052.pdf","Spider-Man™ Action Studio","BI 1376","2010-01-01","2017-06-28"
"1380-1","http://cache.lego.com/bigdownloads/buildinginstructions/4177856.pdf","Werewolf Ambush","BI 1380","2010-01-01","2017-06-28"
"1381-1","http://cache.lego.com/bigdownloads/buildinginstructions/4177857.pdf","Vampire's Crypt","BI 1381","2010-01-01","2017-06-28"
"1382-1","http://cache.lego.com/bigdownloads/buildinginstructions/4177858.pdf","Scary Laboratory","BI 1382","2010-01-01","2017-06-28"
"1383-1","http://cache.lego.com/bigdownloads/buildinginstructions/4177859.pdf","Curse of the Pharaoh","BI 1383","2010-01-01","2017-06-28"
"1413-1","http://cache.lego.com/bigdownloads/buildinginstructions/4130833.pdf","ROVER","BUILD INST. 1413","2010-01-01","2017-06-28"
"1414-1","http://cache.lego.com/bigdownloads/buildinginstructions/4131474.pdf","DOUBLE HOVER","BUILD INST. 1414","2010-01-01","2017-06-28"
"1415-1","http://cache.lego.com/bigdownloads/buildinginstructions/4131475.pdf","JET SCOOTER","BUILD INST. 1415","2010-01-01","2017-06-28"
"1416-1","http://cache.lego.com/bigdownloads/buildinginstructions/4131460.pdf","WORKER ROBOT","BUILD INST. 1416","2010-01-01","2017-06-28"
"1417-1","http://cache.lego.com/bigdownloads/buildinginstructions/4161956.pdf","VAKAMA","BI 1417 IN","2010-01-01","2017-06-28"
"1418-1","http://cache.lego.com/bigdownloads/buildinginstructions/4161957.pdf","MATAU","BI 1418 IN","2010-01-01","2017-06-28"
